+-------------+------------------------+------------------------------------+-----------+------------+
| amka        | first_name             | last_name                          | hosp_year | total_days |
+-------------+------------------------+------------------------------------+-----------+------------+
| 87920698042 | Λήδα                   | Καραγιοβάννη                       |      2024 |         16 |
| 49081081866 | Νεκτάριος              | Δρουλιάς                           |      2023 |         16 |
| 19611594082 | Ελευθερία              | Ντόκος                             |      2024 |         16 |
| 62718750036 | Στέλλα                 | Γκατζογιάννης                      |      2024 |         16 |
| 21103924051 | Φλοριάντ               | Μάρα                               |      2024 |         16 |
| 73334333395 | Λεώνη                  | Γκάγκας                            |      2024 |         16 |
| 69735779071 | Πολυχρόνιος            | Παπαδημητροπούλου                  |      2024 |         16 |
| 10856288431 | Παράσχος               | Δαρδιώτη                           |      2023 |         16 |
| 88043416518 | Σαμουήλ                | Μάστορας                           |      2023 |         16 |
| 69735779071 | Πολυχρόνιος            | Παπαδημητροπούλου                  |      2023 |         16 |
| 77600490824 | Λαοκράτης              | Γραμματικόπουλος                   |      2024 |         16 |
| 93714521117 | Δαμιανή                | Πικρός                             |      2024 |         17 |
| 34280138759 | Λυγερή                 | Βουλγαρίδου                        |      2023 |         17 |
| 79852401322 | Αναγνώστης             | Νικολόπουλος                       |      2024 |         17 |
| 94077780973 | Ντανιέλα               | Αρματά                             |      2024 |         17 |
| 58077879565 | Ζαχαρένια              | Μαρκαντωνάκη                       |      2024 |         17 |
| 53703045319 | Οδυσσεύς               | Τσαραμιάδης                        |      2024 |         17 |
| 41209481813 | Θαλασσινή              | Σαρρός                             |      2024 |         17 |
| 72081155626 | Ελέσσα                 | Σεμπέπου                           |      2023 |         17 |
| 49081081866 | Νεκτάριος              | Δρουλιάς                           |      2024 |         17 |
| 63631797062 | Αντώνιος               | Ντόκος                             |      2024 |         18 |
| 28910771199 | Φιλαρέτη               | Λιτίνας                            |      2023 |         18 |
| 48769639382 | Ευρυδίκη               | Δουκίδου                           |      2023 |         18 |
| 22005436459 | Θεοχάρης               | Χρονοπούλου                        |      2023 |         18 |
| 46810548510 | Ιάσονας                | Μάνδαλος                           |      2023 |         19 |
| 08069581467 | Ισμήνη                 | Τσαγκρασούλης                      |      2023 |         19 |
| 27919409610 | Δρόσος                 | Μπλιατσίου                         |      2024 |         19 |
| 26629912347 | Σουμέλα                | Λάκκας                             |      2023 |         19 |
| 57173203093 | Θεοδούλη               | Νανούρης                           |      2024 |         19 |
| 85760849588 | Φραγκίσκος             | Χουδαλάκης                         |      2024 |         19 |
| 79611435190 | Ρεγγίνα                | Νιτσοτόλης                         |      2023 |         19 |
| 35548640155 | Αρτεμισία              | Γκικόπουλος                        |      2023 |         19 |
| 72081155626 | Ελέσσα                 | Σεμπέπου                           |      2024 |         19 |
| 72260164597 | Λεμονής                | Πανκίδου                           |      2024 |         19 |
| 34778485880 | Ελπίδα                 | Δαματοπούλου                       |      2024 |         20 |
| 73201017026 | Ευστάθιος              | Μπελέκου                           |      2024 |         20 |
| 68536649878 | Φανή                   | Τοπαλή                             |      2023 |         21 |
| 78452182307 | Κυπριανός              | Βαβουράκης                         |      2024 |         21 |
| 87829456511 | Χριστόφιλη             | Γκούσκος                           |      2024 |         23 |
| 16873977406 | Ναταλία                | Δρακάκη                            |      2024 |         23 |
| 69042681818 | Παντελία               | Τουλάκη                            |      2023 |         23 |
| 43866322702 | Ρεγγίνα                | Φαλιέρος                           |      2024 |         23 |
| 47955276365 | Ροδόφλος               | Παράνου                            |      2024 |         23 |
| 75957947284 | Θεολόγος               | Πουρνάρα                           |      2024 |         23 |
| 35548640155 | Αρτεμισία              | Γκικόπουλος                        |      2024 |         25 |
| 87920698042 | Λήδα                   | Καραγιοβάννη                       |      2023 |         25 |
| 56213721386 | Δροσιά                 | Τσαραμιάδης                        |      2023 |         26 |
| 71286391741 | Λαζαρία                | Μαντζώρος                          |      2024 |         26 |
| 70184094353 | Αρίσταρχος             | Γκούσκος                           |      2024 |         26 |
| 25800106181 | Θεοδοσία               | Δεδούκου                           |      2023 |         27 |
| 03843098839 | Παναγιώτα              | Χατζηγεωργίου                      |      2024 |         27 |
| 88043416518 | Σαμουήλ                | Μάστορας                           |      2024 |         28 |
| 20566474231 | Ασημάκης               | Χουλιάρας                          |      2024 |         28 |
| 65669380118 | Ταξιάρχης              | Δημητρέλου                         |      2023 |         28 |
| 60078068671 | Μαρκέλλα               | Σκούμπρου                          |      2023 |         29 |
| 05172897526 | Μάρθα                  | Δημοπούλου                         |      2023 |         29 |
+-------------+------------------------+------------------------------------+-----------+------------+
56 rows in set (0.007 sec)
