+-------------+------------------------+------------------------------+
| amka        | first_name             | last_name                    |
+-------------+------------------------+------------------------------+
| 58657809134 | Ιερεμίας               | Αναστασάκη                   |
| 71870262174 | Αντώνιος               | Αναστασόπουλος               |
| 31931491905 | Μαγδαληνή              | Βαλτάς                       |
| 35427849808 | Πανορμίτης             | Βασιλειάδη                   |
| 38597703482 | Σεβαστιανός            | Γαλανοπούλου                 |
| 55698169340 | Ιορδάνης               | Γεροκώστα                    |
| 74989413435 | Ίκαρος                 | Γεωργακοπούλου               |
| 22602563421 | Θεοφανία               | Γραμμένου                    |
| 85574443135 | Θεοδοσία               | Δάφνη                        |
| 69096705466 | Ευσέβιος               | Δουλγεράκη                   |
| 28148932528 | Ανέστης                | Δρακουλή                     |
| 41182449353 | Θωμάς                  | Κολοβός                      |
| 48877190659 | Αγόρω                  | Κουκουθάκη                   |
| 52047116719 | Δρόσος                 | Κουλίζος                     |
| 48236629946 | Σπήλιος                | Λιόλιος                      |
| 73178108013 | Ροδάνθη                | Μαράκη                       |
| 39421047095 | Αρχοντία               | Μποζίκης                     |
| 36057662702 | Στέλλιος               | Νίκα                         |
| 68011280598 | Θεόδωρος               | Ντόβας                       |
| 51712368516 | Αλκιβιάδης             | Πρέκα                        |
| 50671657262 | Στυλιανή               | Σαρίκας                      |
| 45299124190 | Βενιζέλος              | Σουλιντζής                   |
| 95701543039 | Θεοχάρης               | Τάχας                        |
| 03413164752 | Σμαράγδα               | Τσιατής                      |
| 71756551256 | Φανούριος              | Χαρισιάδης                   |
| 17693676320 | Αγάπιος                | Χολέβα                       |
+-------------+------------------------+------------------------------+
