+-------------+-------------+-----------------+--------------------------------------------------------------------------------------------------------------------------------------------------------+
| doctor_amka | doctor_rank | hierarchy_level | hierarchy_path                                                                                                                                         |
+-------------+-------------+-----------------+--------------------------------------------------------------------------------------------------------------------------------------------------------+
| 80184514627 | Director    |               1 | Αντίπατρος Ζαχαρίου                                                                                                                                    |
| 18227824896 | Director    |               1 | Βελισσαρία Πολέμη                                                                                                                                      |
| 03413164752 | Director    |               1 | Θεολόγος Ρόκκα                                                                                                                                         |
| 72423884969 | Director    |               1 | Θεοχάρης Κωστούλας                                                                                                                                     |
| 95701543039 | Director    |               1 | Ιππόλυτος Ανδρουλάκης                                                                                                                                  |
| 03056413953 | Director    |               1 | Κικιλία Κορομπόκη                                                                                                                                      |
| 94078161849 | Director    |               1 | Νικολέτα Τσιωλξ                                                                                                                                        |
| 41928327648 | Director    |               1 | Νταίζη Χατζηγεωργίου                                                                                                                                   |
| 28148932528 | Director    |               1 | Πελαγία Σφύρλας                                                                                                                                        |
| 87101226916 | Director    |               1 | Χρυσόστομος Μωυσίδου                                                                                                                                   |
| 73178108013 | Registrar_A |               2 | Αντίπατρος Ζαχαρίου -> Γαρυφαλλιά Μασιάλα                                                                                                              |
| 33754330365 | Registrar_A |               2 | Αντίπατρος Ζαχαρίου -> Θεοφύλακτος Τερζίδης                                                                                                            |
| 46706562729 | Registrar_B |               2 | Αντίπατρος Ζαχαρίου -> Φιλαρέτη Παπαστεργίου                                                                                                           |
| 41182449353 | Registrar_A |               2 | Θεολόγος Ρόκκα -> Θεανώ Δανδανίδου                                                                                                                     |
| 40164005242 | Registrar_A |               2 | Θεολόγος Ρόκκα -> Ιερόθεος Θεοδωρικάκος                                                                                                                |
| 01031051834 | Registrar_A |               2 | Θεολόγος Ρόκκα -> Φρειδερίκη Παπαδήμα                                                                                                                  |
| 94131869993 | Registrar_B |               2 | Θεολόγος Ρόκκα -> Φρίξος Νικουλής                                                                                                                      |
| 36026064746 | Registrar_A |               2 | Θεολόγος Ρόκκα -> Χριστόδουλος Λιολιοπούλου                                                                                                            |
| 01065133387 | Registrar_A |               2 | Θεοχάρης Κωστούλας -> Θεοχαρούλα Λαγοπάτης                                                                                                             |
