+-------------+----------------------------+--------------------------------------+
| amka        | first_name                 | last_name                            |
+-------------+----------------------------+--------------------------------------+
| 78759856420 | Λεωνιδιά                   | Αβαγιανός                            |
| 43517518304 | Βλασία                     | Αβραμίδης                            |
| 98562575326 | Φίλιππος                   | Αβραμίδου                            |
| 45053315869 | Μαρτίνος                   | Αγαλιώτης                            |
| 94131869993 | Φώτιος                     | Αγγελάκος                            |
| 18188355231 | Θεοχαρούλα                 | Αθανασάκης                           |
| 18636374545 | Ροδόκλεια                  | Αλεξανδρόπουλος                      |
| 66574374896 | Συμέλα                     | Αλεξόπουλος                          |
| 58657809134 | Ιερεμίας                   | Αναστασάκη                           |
| 74160898992 | Χριστοδούλα                | Αναστασίου                           |
| 71870262174 | Αντώνιος                   | Αναστασόπουλος                       |
| 99650477358 | Πολυτίμη                   | Αποστολίδου                          |
| 82146584044 | Αύγουστος                  | Αργυρίου                             |
| 64422096902 | Έλλη                       | Ασημόπουλος                          |
| 10369711798 | Γεωργία                    | Ασουχίδου                            |
| 64641708053 | Βαλάντης                   | Αυγουστής                            |
| 21418880592 | Θάλεια                     | Αφρουδάκης                           |
| 10469632595 | Κατερίνα                   | Βαϊτσόπουλος                         |
| 18328569146 | Ραχήλ                      | Βακαλάκης                            |
| 54629148652 | Σμαράγδα                   | Βακαλάκης                            |
| 31931491905 | Μαγδαληνή                  | Βαλτάς                               |
| 55625881537 | Μάνθα                      | Βαλτάς                               |
| 43098050097 | Προκόπιος                  | Βαμβουκάκη                           |
| 37526547935 | Φαίδρα                     | Βαμβουκάκη                           |
| 35427849808 | Πανορμίτης                 | Βασιλειάδη                           |
| 96230913075 | Περσεφόνη                  | Βασιλοπούλου                         |
| 06174451870 | Παντούλα                   | Βιλδός                               |
| 04420678831 | Μαλβίνα                    | Βιολάτος                             |
| 90104328986 | Γαβριέλλα                  | Βλάχου                               |
| 99016272046 | Θεοπίστη                   | Βορλόκας                             |
| 99650752735 | Στέργιος                   | Βυζιηνού                             |
| 26137506068 | Τατιάνα                    | Γαλάνη                               |
| 38597703482 | Σεβαστιανός                | Γαλανοπούλου                         |
| 57120826773 | Θεανώ                      | Γεροδήμος                            |
| 55698169340 | Ιορδάνης                   | Γεροκώστα                            |
| 36026064746 | Διονυσία                   | Γεωργακοπούλου                       |
| 74989413435 | Ίκαρος                     | Γεωργακοπούλου                       |
| 24171467741 | Βαλεντίνα                  | Γεωργή                               |
| 33754330365 | Τιμοθέα                    | Γιατράκου                            |
| 30982150648 | Καλλιρρόη                  | Γκαλίου                              |
| 76772190340 | Ευτέρπη                    | Γκούβελος                            |
| 22602563421 | Θεοφανία                   | Γραμμένου                            |
| 72795687833 | Δήμητρα                    | Γρηγοριάδης                          |
| 88425241056 | Αριστοτέλης                | Γρηγοριάδου                          |
| 68562185016 | Μαρωτέσα                   | Γρηγοροπούλου                        |
| 62218909275 | Κλεονίκη                   | Δανδανίδου                           |
| 01031051834 | Θεώνη                      | Δημακογιάννη                         |
| 16845775901 | Αλκμήνη                    | Δημητρέλου                           |
| 04754121267 | Ρηγούλα                    | Δημητρίου                            |
| 33959629233 | Τερψιχόρη                  | Δημητρόπουλος                        |
| 03056413953 | Θεόκλητος                  | Δούβαλη                              |
| 69096705466 | Ευσέβιος                   | Δουλγεράκη                           |
| 87431527420 | Λευκοθέα                   | Δουμάς                               |
| 62890233030 | Μαρίνα                     | Δρακάκη                              |
| 28148932528 | Ανέστης                    | Δρακουλή                             |
| 48734714345 | Πέτρα                      | Δραμουντάνη                          |
| 74964990913 | Κλεομένης                  | Δρόσου                               |
| 56232858842 | Ηλιάνα                     | Ενωτιάδη                             |
| 20153368844 | Δέσποινα                   | Ζαβιτσάνου                           |
| 47134936183 | Ίρις                       | Ζενεμπίσης                           |
| 68548709986 | Ντανιέλα                   | Ζορμπάς                              |
| 89226801824 | Στέλλα                     | Ζυγούρη                              |
| 46706562729 | Ελευθερία                  | Ιντζές                               |
| 35841438424 | Στυλιανή                   | Κακοσαίος                            |
| 94396907844 | Δημούλα                    | Καλαπόδης                            |
| 90874064039 | Καλλιόπη                   | Καλέμη                               |
| 29973763116 | Χαρίλαος                   | Καλιάμπος                            |
| 07859321334 | Χρύσανθος                  | Καλομοίρη                            |
| 78547772522 | Βησσαρία                   | Κανελλή                              |
| 13983735403 | Ναταλία                    | Καπετάνιος                           |
| 94958887947 | Μυρτώ                      | Καρακωνσταντινού                     |
| 78755886753 | Ξανθή                      | Καραμανλή                            |
| 98358416878 | Λυδία                      | Καραμάνος                            |
| 66182512868 | Σουλτάνα                   | Καράνης                              |
| 67600835058 | Αμβρόσιος                  | Καργάκου                             |
| 26965827109 | Χριστόδουλος               | Κατσανίκου                           |
| 51939828073 | Πωλίνα                     | Κατσιλής                             |
